Date,Name,Year,Letterboxd URI,Rating
2022-06-26,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc,3.5
2022-06-27,The Northman,2022,https://boxd.it/nK2s,4.5
2022-06-27,Sully,2016,https://boxd.it/cD8Q,3
2022-06-27,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,2
2022-06-29,Beautiful Boy,2018,https://boxd.it/g76Q,3.5
2022-06-29,Hillbilly Elegy,2020,https://boxd.it/lQmY,2
2022-06-30,"Love, Rosie",2014,https://boxd.it/62hE,2
2022-06-30,Iron Man,2008,https://boxd.it/28dA,3.5
2022-06-30,Chef,2014,https://boxd.it/6lCG,2
2022-07-04,Top Gun: Maverick,2022,https://boxd.it/cjr4,4
2022-07-04,Free Solo,2018,https://boxd.it/iEEq,3.5
2022-07-07,Okja,2017,https://boxd.it/dvXe,3.5
2022-07-08,Memoirs of a Geisha,2005,https://boxd.it/27TA,2
2022-07-09,The Haunting of Hill House,2018,https://boxd.it/kfJ0,5
2022-07-09,It Chapter Two,2019,https://boxd.it/h10u,2.5
2022-07-09,It,2017,https://boxd.it/bC8e,3.5
2022-07-09,District 9,2009,https://boxd.it/1Iik,3
2022-07-09,Oblivion,2013,https://boxd.it/2Bzq,3
2022-07-09,Tangerine,2015,https://boxd.it/9QRe,3.5
2022-07-12,The Sea Beast,2022,https://boxd.it/kv3a,4
2022-07-12,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2022-07-13,Ron's Gone Wrong,2021,https://boxd.it/hlj2,4.5
2022-07-14,My Life as a Zucchini,2016,https://boxd.it/dL2y,5
2022-07-17,Gran Torino,2008,https://boxd.it/1Qzy,2.5
2022-07-18,21 Grams,2003,https://boxd.it/2ajK,4.5
2022-07-18,You've Got Mail,1998,https://boxd.it/1Yye,2.5
2022-07-20,The Hurt Locker,2008,https://boxd.it/1Soi,2
2022-07-22,Lightyear,2022,https://boxd.it/qV1G,4
2022-07-22,Mean Girls,2004,https://boxd.it/1VNg,2
2022-07-25,RRR,2022,https://boxd.it/ljDs,4.5
2022-07-26,Moonlight,2016,https://boxd.it/d6bE,3.5
2022-07-30,The Gray Man,2022,https://boxd.it/rb7q,2.5
2022-08-05,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,2
2022-08-12,Victoria,2015,https://boxd.it/amSe,4.5
2022-08-19,10 Cloverfield Lane,2016,https://boxd.it/aZiu,2.5
2022-08-19,"Oslo, August 31st",2011,https://boxd.it/2xQC,4
2022-08-25,Being John Malkovich,1999,https://boxd.it/2ahu,4
2022-08-25,Y Tu Mamá También,2001,https://boxd.it/28QM,4
2022-08-25,Gravity,2013,https://boxd.it/GZY,3.5
2022-09-07,Memoria,2021,https://boxd.it/iwtE,3.5
2022-09-07,Nope,2022,https://boxd.it/sDCe,4.5
